headwater_id,downstream_id,drainage_ratio,dist,hw_order,ds_order,connection_id,start_hw,end_hw,n_hw,start_ds,end_ds,n_ds,n_rat,start_hw_hw,end_hw_hw,n_hw_hw,start_ds_ds,end_ds_ds,n_ds_ds
01413500,01428500,0.080698803,168.175,3,6,69,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01413500,01427510,0.089566804,131.748,3,6,70,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01435000,01437500,0.216953842,63.761,3,4,75,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01440400,01442500,0.254472272,18.62,3,5,76,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01447680,01447720,0.169502618,9.998,2,4,77,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01447680,01447800,0.068965517,29.057,2,5,78,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01449360,01451000,0.056112921,33.244,3,5,79,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01450500,01451000,0.086297503,4.866,3,5,80,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01450500,01453000,0.059983095,39.857,3,5,82,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01451500,01453000,0.063182998,11.881,3,5,84,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01451800,01452000,0.699439633,19.333,3,3,85,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
